 ,,,,,,,For Andrew ,,,For Andrew ,For Andrew ,For Andrew ,For Andrew ,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",,
10/5/2020,VW303,Performance Jogger,HTG,Small,1,In,TRUE,Lightspeed Return,AC,1013,1690,1001,TRUE,,Lightspeed Return
10/5/2020,V835,Vuori Athletics Hat,BLK,ONS,1,In,TRUE,Lightspeed Return,AC,1013,1690,1001,TRUE,,Damaged
10/5/2020,V330,Banks Shorts,BLK,Large,1,In,TRUE,Lightspeed Return,AC,1013,1690,1001,TRUE,,Custom Sale
10/5/2020,V359,Bahia Boardshort,BLK,32,1,In,TRUE,Lightspeed Return,AC,1013,1690,1001,TRUE,,Lightspeed Return 
10/5/2020,VW951,Women's Wave Logo Tee,White,XL,1,Out,FALSE,Damaged,AC,856843,,,FALSE,,
10/06/2020,V224,Ponto Crew ,HNV,XXL,1,In,TRUE,Lightspeed Return,RL,1013,1691,1002,TRUE,,Shipment error
10/06/2020,V150,Crest S/S Button Down,SAR,Large,1,In,TRUE,Lightspeed Return,RL,1013,1691,1002,TRUE,,Shipment Discrepency
10/06/2020,V314,Cruise Boardshort,ICB,32,1,In,TRUE,Lightspeed Return,RL,1013,1691,1002,TRUE,,Lightspeed Return Giftcard
10/06/2020,V430,Meta Pant,BLK,32,1,In,TRUE,Lightspeed Return,RL,1013,1691,1002,TRUE,,Lightspeed return Giftcard
10/06/2020,V366,Banks Shorts,BKL,S,1,In,TRUE,Lightspeed Return,AC,1013,1691,1002,TRUE,,                          Lightspeed Return Giftcard
10/07/2020,V302,Kore Short,GHE,M,1,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,Incorrect scan
10/07/2020,V302,Kore Short,GLD,M,1,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,Incorrect sizing
10/07/2020,V109,Tradewind Tee,HCL,M,2,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,
10/07/2020,V109,Tradewind Tee,HTG,M,1,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,
10/07/2020,V370,Ripstop Short,ARM,M,1,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,
10/07/2020,V412,Ripstop Pant,BCM,M,1,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,
10/07/2020,VW323,Daily Legging ,INK,S,1,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,
10/07/2020,VW304,Clementine Short,ORE,S,1,In,TRUE,Lightspeed Return,RS,1070,1762,1004,TRUE,,
10/07/2020,VW133,Daydream Crew,LHG,S,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,VW365,"Clemetine Short 4""",CTT,XS,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V368,Aim Short,KHK,36,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V314,Cruise Boardshort,GSW,34,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V314,Cruise Boardshort,ICB,33,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V302,Kore Short,Grey Twill,L,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V359,Bahia Boardshort,PAL,34,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V344,Ponto Short,BLK,L,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V344,Ponto Short,HTG,L,1,Out,TRUE,Damaged,,89542,,1005,TRUE,,
10/07/2020,V165,S/S Ever Henley,Oregano,M,1,Out,FALSE,Custom Sale,,,,,FALSE,,
10/07/2020,V412,Ripstop Pant,BCM,M,1,In,TRUE,Lightspeed Return,,1081,1780,1012,TRUE,,
10/07/2020,VW323,Daily Legging ,INK,S,1,In,TRUE,Lightspeed Return,,1081,1780,1012,TRUE,,
10/07/2020,V935,Sierra Horizon Tee,BLK,M,1,In,TRUE,Lightspeed Return,,1081,1780,1012,TRUE,,
10/07/2020,V430,V430,Charcoal,32,1,In,TRUE,Lightspeed Return,,1081,1780,1012,TRUE,,
10/07/2020,VW501,Womens outdoor trainer shell,BCM,M,1,In,TRUE,Lightspeed Return,,1081,1780,1012,TRUE,,
10/07/2020,VW303,Performance Jogger,HCE,XS,1,In,TRUE,Lightspeed Return,,1081,1780,1012,TRUE,,
10/07/2020,VW303,Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Return,,1081,1780,1012,TRUE,,
10/07/2020,VW104,Yosemite Bra,BCM,S,1,Out,TRUE,Damaged,,908277,,1011,TRUE,,
10/07/2020,VW303,Performance Jogger,charcoal black stripe,S,1,Out,TRUE,Damaged,,908277,,1011,TRUE,,
10/07/2020,VW361,Tavi Short,MEL,XL,1,Out,TRUE,Damaged,,908277,,1011,TRUE,,
10/09/2020,V412,Ripstop Climber Pant,CCO,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW361,Tavi Short,IMP,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW106,Lux Performance Tee,DVG,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW323,Daily Legging ,CCL,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW303,Performance Jogger,BLK,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW323,Daily Legging ,BCM,XS,2,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,V519,Durango 1/2 Zip,HBK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW155,Marine Mock Neck,VFI,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW365,"Clemintine Short 4""",CTT,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW303,Performance Jogger,HTG,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
