,,,,,,,For Andrew,,,For Andrew ,For Andrew ,For Andrew ,For Andrew 
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)"
11/3/2020,VW409,Clean Elevation Legging ,HBF,L,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,VW303,Performance Joggers,HCC,M,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,VW303,Performance Joggers,HCA,S,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,V126,Strato Tech Tee,HCL,L,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,V126,Strato Tech Tee,HTG,L,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,VW226,Halo Essential Hoodie,BCM,M,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,VW304,Clementine Short ,SPC,L,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,V126,Strato Tech Tee,HTG,M,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/3/2020,VW201,Halo Performance Hoodie,HCA,S,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/4/2020,V341,Trail Short,HCT,M,1,IN,TRUE,Lighspeed Return,Savanah B,1099,1803,1021,TRUE
11/5/2020,V178,L/S Strato Tee,HCC,L,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/5/2020,VW303,Performance Joggers,HCA,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/5/2020,VW201,Halo Hoodie,HCA,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/5/2020,VW303,Performance Joggers,HTG,S,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/5/2020,VW133,Daydream Crew,ORE,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/5/2020,V330,Banks short ,OSP,L,2,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/5/2020,V302,Kore Short,GHE,L,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,V330,Banks short ,OSP,L,1,OUT,TRUE,Damaged,PARKER,940796,,1024,TRUE
11/6/2020,VW303,Performance Joggers,HCA,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,VW201,Halo Hoodie,HCA,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,VW303,Performance Joggers,HTG,XS,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,V341,Trail Short,BLK,XL,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,V109,Tradewind Tee,HTG,XL,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,V530,Topanga Vest,BCM,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,V164,Ace Polo ,LTG,L,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,V201,Movement Hoodie,HTG,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,VW303,Performance Joggers,HTG,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/6/2020,VW226,Halo Essential Hoodie,HTG,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/7/2020,VW167,L/S Lux tee ,HCE,S,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/7/2020,V412,Ripstop Climber Pant,DCO,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/7/2020,VW303,Performance Joggers,HTG,M,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
11/8/2020,VW323,Daily Legging ,INK,S,1,IN,TRUE,Lighspeed Return,PARKER,1099,1803,1021,TRUE
