 ,,,,,,,For Andrew ,,,,,,,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),"Reason For
Defect/Damaged",Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",
11/4/2020,V528,Topanga Insulated Jacket,BLK,M,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,V835,Vuori Athletics Hat,GRL,ONS,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,VW201,Halo Performance Hoodie,HTG,M,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,V418,Ponto Performance Pant,BLK,L,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,VW303,Performance Jogger,BLK,L,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,V418,Ponto Performance Pant,BLK,XXL,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,V222,Ponto Performance Pant ,HCC,M,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,VW201,Halo Performance Hoodie,BLK,XS,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,V109,Tradewind Performance Tee,BLK,M,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,V416,Sunday Performance Jogger,OXB,L,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,VW339,Halo Performance Short,BLK,M,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,VW960,Sun Lover Tank,PTY,S,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,VW155,Marine Mock Neck,VFI,M,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,VW167,L/S Lux Tee,HCC,L,1,In,TRUE,Lightspeed Return,,RIVER,1092,1796,1017,TRUE,
11/4/2020,V344,ponto short,HTG,L,1,Out,TRUE,Damaged,,DIANE,932655,,1019,TRUE,
11/4/2020,V411.01,Transition 5-Pocket Pant,ARM,32,1,Out,TRUE,Damaged,,DIANE,932655,,1019,TRUE,
11/4/2020,VW303,Performance Jogger,BLK,M,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,VW303,Peformance Jogger,BLK,L,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,VW303,Performance Jogger,HCC,XS,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,V412,Ripstop climber pant,ARM,XL,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,VW365,"Clementine short 4""",DSK,L,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,VW235,Restore Crew,GDN,M,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,V101,Tuvalu tee,CCO,XL,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,VW170,L/S coast tee,DSK,XS,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,V101,Tuvalu tee,BLK,M,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,V224,Ponto performance crew,HCC,M,1,In,TRUE,Lightspeed Return,,DIANE,1097,1801,1018,TRUE,
11/4/2020,v412,Ripstop climber pant,BLK,XL,1,Out,TRUE,lightspeed transaction bc needed cash back,,DIANE,932655,,1019,TRUE,
11/4/2020,V101,Tuvalu tee,SLT,L,1,Out,TRUE,lightspeed transaction bc needed cash back,,DIANE,932655,,1019,TRUE,
11/4/2020,v412,Ripstop climber pant,IND,XL,1,Out,TRUE,lightspeed transaction bc needed cash back,,DIANE,932655,,1019,TRUE,
11/5/2020,V431,Aim Pant,CCL,38,1,In,TRUE,Lightspeed Return,,RIVER,1097,1801,1018,TRUE,
11/5/2020,V416,Sunday Performance Jogger,CCL,XL,1,In,TRUE,Lightspeed Return,,RIVER,1097,1801,1018,TRUE,
11/5/2020,V530,Topanga Insulated Jacket,BCM,XXL,1,Out,TRUE,Damaged,,RIVER,932655,,1019,TRUE,
11/5/2020,VW104,Yosemite Bra,DSK,S,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,/
11/5/2020,V218,Jeffreys Pullover,NAT,L,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,V416,Sunday Performance Jogger,IND,L,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,VW144,Rhythm Tank,DSK,M,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,V341,Trail Short,BLK,XL,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,VW226,Halo Essential Hoodie,HCC,S,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,V412,Ripstop climber pant,IND,XL,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,VW304,Clementine Short ,IWC,S,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,VW401,Womens's Ripstop Pant,CCL,L,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/5/2020,VW133,Daydream Crew,DSK,XS,1,In,TRUE,Lightspeed Return,,FRANK,1097,1801,1018,TRUE,
11/7/2020,V418,Ponto Peformance Pant,HCC,M,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,VW304,Clementine Short,SPC,XS,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V165,S/S Ever Henley,ORE,L,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,VW303,Performance Jogger,BLK,M,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,VW133,Daydream Crew,ORE,XS,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V346,Stockton Short,GRL,L,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V176,Waffle Crew,LHG,L,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V126,Strato Tech Tee,HOX,L,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
2020-11-07,V344,Ponto Short,BLK,XL,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,VW303,Performance Jogger,BCM,S,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V368,Aim Short,CCL,36,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V101,Tuvalu tee,COP,XL,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V344,Ponto Short,HTG,M,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V344,Ponto Short,HBG,M,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V344,Ponto Short,BLK,XL,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,VW303,Performance Jogger,BLK,S,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/7/2020,V815,Vuori Peformance Hat,HCC,ONS,1,In,TRUE,Lightspeed Return,,CAM,1100,1804,1022,TRUE,
11/8/2020,V242,Seaside Hoodie,IND,L,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V367,Dash Short,BLK,XSML,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V109,Tradewind Performance Tee,HCL,M,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020, V176,Waffle Crew,LHG,M,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V523,Daybreak Windbreaker,BLK,L,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V101,Tuvalu tee,SLT,M,1,In,FALSE,Lightspeed Return,,FRANK,,,,FALSE,
11/8/2020,V406,Balboa Pant,CCL,S,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V418,Ponto Performance Pant,HCC,L,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V406,Balboa Pant,IND,S,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V429,Fleet Pant,BLK,L,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V406,Balboa Pant,BLK,S,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,VW142,Plyo Tank,HCC,M,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,VW220,Crescent 1/2 Zip,HTG,S,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,VW123,Energy Top ,BLK,XS,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,VW123,Energy Top ,WHT,XS,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V512,Outdoor Trainer Shell,BCM,M,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,VW133,Daydream Crew,LHG,XS,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,V177,L/S Tradewind Performance Tee,HTG,L,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/8/2020,VW401,Womens's Ripstop Pant,HZL,S,1,In,TRUE,Lightspeed Return,,FRANK,1100,1804,1022,TRUE,
11/9/2020,VW418,Daily Jogger,BLK,L,1,In,TRUE,Lightspeed Return,,CAM,1107,1812,1027,TRUE,
11/9/2020,V224,Ponto Performance Crew,BLK,S,1,In,TRUE,Lightspeed Return,,CAM,1107,1812,1027,TRUE,
11/9/2020,VW951,Women's Wave Logo Tee,CCL,M,1,In,TRUE,Lightspeed Return,,ABRRAM,1107,1812,,FALSE,
11/9/2020,V178,L/S Strato Tech Tee,HTG,XL,1,In,TRUE,Lightspeed Return,,Kelsey,1107,1812,1027,TRUE,
11/9/2020,V418,Ponto Performqnce Pant,HCC,M,1,In,TRUE,Lightspeed Return,,Kelsey,1107,1812,1027,TRUE,
11/9/2020,V302,Kore Short,PWC,M,1,In,TRUE,Lightspeed Return,,Kelsey,1107,1812,1027,TRUE,
11/9/2020,VW170,L/S Coast Tee,CCL,M,1,In,TRUE,Lightspeed Return,,Kelsey,1107,1812,1027,TRUE,
11/10/2020,v431,aim pant,KHK,34,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/9/2020,V302,Kore Short,CTT,XL,1,Out,TRUE,Damaged,,Kelsey,960710,,1034,TRUE,
11/9/2020,V302,Kore Short,BWC,XL,1,Out,TRUE,Damaged,,Kelsey,960710,,1034,TRUE,
11/10/2020,V344,Pont short,HCC,L,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,VW303,performance Jogger,HCE,S,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,VW133,Daydream Crew,HDS,M,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,VW303,performance Jogger,HCE,S,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
2020-11-10,VW108,lux performance tank,BLK,M,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,VW133,daydream Crew,LHG,M,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,V344,ponto short,HTG,L,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,V416,Sunday jogger,BLK,L,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,VW303,performance Jogger,HTG,S,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/10/2020,V344,ponto short,BLK,L,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/11/2020,VW240,L/S solstace tee,HCC,S,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/11/2020,V126,Strato Tech Tee,HCC,L,1,Out,TRUE,Damaged,,DIANE,960710,,1034,TRUE,
11/11/2020,VW323,daily legging,BLK,M,1,Out,TRUE,Damaged,,,960710,,1034,TRUE,
11/11/2020,V412,Ripstop climber pant,CCL,S,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,V820,California Beanie,MUS,ONS,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,VW323,daily legging,BLK,L,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,V178,L/S Strato Tech Tee,INK,L,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,V126,Strato Tech Tee,HCL,M,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,V127,Strato Tech Tee,HCL,M,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,V935,Sierra Tee,BLK,XL,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,VW325,Elevation Legging ,CCL,S,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,VW325,Elevation Legging ,HCE,S,1,Out,TRUE,Damaged,,Abram,960710,,1034,TRUE,
11/11/2020,V430,Meta Pant,DOR,32,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V126,Strato Tech Tee,HNV,L,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V302,Kore Short,OTB,M,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,VW958,Land to Sea,CCL,S,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V176,Waffle Crew,ORE,XXL,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V330,Banks Short,BLK,L,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V108,L/S Ever Henley,BLK,M,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V302,Kore Short,PWC,M,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V302,Kore Short,CLD,M,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V344,ponto short,HCC,M,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
11/11/2020,V302,Kore Short,CCL,L,1,In,TRUE,Lightspeed Return,,Abram,1120,1826,1035,TRUE,
