Product,Variant,SKU,Barcode,Shopify ID,Weight,Vendor,Product Type,Custom Text Field,Custom Date Field,Retail Price,Cost Price,Unfulfilled,On Order,Expected Stock,Actual Stock,Adjustment,Adjustment Cost
Daily Jogger | Black,Black / L,VW418BLKLRG,843084162048,32651538989159,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,3,11,3,3,0,0.00
Daily Jogger | Black,Black / M,VW418BLKMED,843084162031,32651538956391,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,16,26,2,2,0,0.00
Daily Jogger | Black,Black / S,VW418BLKSML,843084162024,32651538923623,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,12,28,4,5,1,19.95
Daily Jogger | Black,Black / XS,VW418BLKXSM,843084162017,32651538890855,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,5,12,2,2,0,0.00
Daily Jogger | Oregano,Oregano / L,VW418ORELRG,843084162093,32651538301031,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,0,4,2,2,0,0.00
Daily Jogger | Oregano,Oregano / M,VW418OREMED,843084162086,32651538268263,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,13,28,1,1,0,0.00
Daily Jogger | Oregano,Oregano / S,VW418ORESML,843084162079,32651538235495,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,24,22,2,2,0,0.00
Daily Jogger | Oregano,Oregano / XL,VW418OREXLG,843084162109,32651538333799,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,1,0,4,4,0,0.00
Daily Jogger | Oregano,Oregano / XS,VW418OREXSM,843084162062,32651538202727,7.04 oz,Vuori Clothing,Joggers,,,84.00,19.95,9,6,5,5,0,0.00
Daily Jogger | Terracotta,Terracotta / L,VW418TERLRG,843084192472,33087457788007,7.04 oz,Vuori Clothing,Joggers,,,84.00,,3,1,4,4,0,0.00
Daily Jogger | Terracotta,Terracotta / M,VW418TERMED,843084192465,33087457755239,7.04 oz,Vuori Clothing,Joggers,,,84.00,,8,7,4,4,0,0.00
Daily Jogger | Terracotta,Terracotta / S,VW418TERSML,843084192458,33087457722471,7.04 oz,Vuori Clothing,Joggers,,,84.00,,7,2,4,4,0,0.00
Daily Jogger | Terracotta,Terracotta / XL,VW418TERXLG,843084192489,33087457820775,7.04 oz,Vuori Clothing,Joggers,,,84.00,,0,1,2,2,0,0.00
Daily Jogger | Terracotta,Terracotta / XS,VW418TERXSM,843084192441,33087457689703,7.04 oz,Vuori Clothing,Joggers,,,84.00,,4,2,6,6,0,0.00
