Product,Variant,SKU,Barcode,Shopify ID,Weight,Vendor,Product Type,Custom Text Field,Custom Date Field,Retail Price,Cost Price,Unfulfilled,On Order,Expected Stock,Actual Stock,Adjustment,Adjustment Cost
Elevation Bra | Black Camo,Black Camo / L,VW136BCMLRG,843084149377,31858269093991,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,4,0,4,4,0,0.00
Elevation Bra | Black Camo,Black Camo / XL,VW136BCMXLG,843084149384,31858269126759,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,0,0,3,3,0,0.00
Elevation Bra | Black Camo,Black Camo / XS,VW136BCMXSM,843084149346,31858268995687,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,2,4,3,3,0,0.00
Elevation Bra | Burnt Clay Heather,Burnt Clay Heather / XS,VW136HBCXSM,843084186549,33087433080935,5.28 oz,Vuori Clothing,Bra,,,58.00,,0,0,1,1,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / L,VW136LHGLRG,843084143641,31858268799079,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,5,0,5,5,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / M,VW136LHGMED,843084143634,31858268766311,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,3,4,7,7,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / XL,VW136LHGXLG,843084143658,31858268831847,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,3,0,5,5,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / XS,VW136LHGXSM,843084143610,31858268700775,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,2,6,5,4,-1,-14.20
Yosemite Bra | Black Camo,Black Camo / L,VW104BCMLRG,817718022695,31858273812583,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,1,4,4,4,0,0.00
Yosemite Bra | Black Camo,Black Camo / M,VW104BCMMED,817718022688,31858273779815,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,4,5,5,5,0,0.00
Yosemite Bra | Black Camo,Black Camo / XL,VW104BCMXLG,817718022701,31858273845351,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,0,4,4,0,0.00
Yosemite Bra | Black Camo,Black Camo / XS,VW104BCMXSM,817718022664,31858273714279,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,1,2,2,2,0,0.00
Yosemite Bra | Dusk,Dusk / L,VW104DSKLRG,843084154111,31858273288295,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,3,5,3,3,0,0.00
Yosemite Bra | Dusk,Dusk / M,VW104DSKMED,843084154104,31858273255527,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,0,5,5,0,0.00
Yosemite Bra | Dusk,Dusk / S,VW104DSKSML,843084154098,31858273222759,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,2,4,4,0,0.00
Yosemite Bra | Dusk,Dusk / XL,VW104DSKXLG,843084154128,31858273321063,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,0,4,4,0,0.00
Yosemite Bra | Dusk,Dusk / XS,VW104DSKXSM,843084154081,31858273189991,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,0,3,2,-1,-12.70
Yosemite Bra | Ocean Shibori,Ocean Shibori / L,VW104OSHLRG,843084186075,33087431344231,2.4 oz,Vuori Clothing,Bra,,,48.00,,1,1,3,4,1,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / M,VW104OSHMED,843084186068,33087431311463,2.4 oz,Vuori Clothing,Bra,,,48.00,,2,10,3,3,0,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / S,VW104OSHSML,843084186051,33087431278695,2.4 oz,Vuori Clothing,Bra,,,48.00,,5,10,5,5,0,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / XL,VW104OSHXLG,843084186082,33087431376999,2.4 oz,Vuori Clothing,Bra,,,48.00,,0,1,1,2,1,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / XS,VW104OSHXSM,843084186044,33087431245927,2.4 oz,Vuori Clothing,Bra,,,48.00,,0,0,5,5,0,0.00
Yosemite Bra | Sierra,Sierra / L,VW104SIELRG,843084186129,33087431573607,2.4 oz,Vuori Clothing,Bra,,,48.00,,1,1,6,6,0,0.00
Yosemite Bra | Sierra,Sierra / M,VW104SIEMED,843084186112,33087431540839,2.4 oz,Vuori Clothing,Bra,,,48.00,,4,23,4,4,0,0.00
Yosemite Bra | Sierra,Sierra / S,VW104SIESML,843084186105,33087431508071,2.4 oz,Vuori Clothing,Bra,,,48.00,,6,12,4,4,0,0.00
Yosemite Bra | Sierra,Sierra / XL,VW104SIEXLG,843084186136,33087431606375,2.4 oz,Vuori Clothing,Bra,,,48.00,,0,0,2,2,0,0.00
Yosemite Bra | Sierra,Sierra / XS,VW104SIEXSM,843084186099,33087431475303,2.4 oz,Vuori Clothing,Bra,,,48.00,,1,2,2,3,1,0.00
Yosemite Bra | Spice,Spice / L,VW104SPCLRG,843084157341,32651563008103,2.4 oz,Vuori Clothing,Bra,,,48.00,12.70,1,0,1,1,0,0.00
