Product,Variant,SKU,Barcode,Shopify ID,Weight,Vendor,Product Type,Custom Text Field,Custom Date Field,Retail Price,Cost Price,Unfulfilled,On Order,Expected Stock,Actual Stock,Adjustment,Adjustment Cost
Elevation Bra | Black Camo,Black Camo / L,VW136BCMLRG,843084149377,31858269093991,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,2,3,3,3,0,0.00
Elevation Bra | Black Camo,Black Camo / M,VW136BCMMED,843084149360,31858269061223,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,3,3,8,8,0,0.00
Elevation Bra | Black Camo,Black Camo / S,VW136BCMSML,843084149353,31858269028455,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,6,8,3,3,0,0.00
Elevation Bra | Black Camo,Black Camo / XL,VW136BCMXLG,843084149384,31858269126759,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,1,0,1,1,0,0.00
Elevation Bra | Black Camo,Black Camo / XS,VW136BCMXSM,843084149346,31858268995687,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,2,10,1,1,0,0.00
Elevation Bra | Burnt Clay Heather,Burnt Clay Heather / L,VW136HBCLRG,843084186570,33087433179239,5.28 oz,Vuori Clothing,Bra,,,58.00,,0,0,2,2,0,0.00
Elevation Bra | Burnt Clay Heather,Burnt Clay Heather / S,VW136HBCSML,843084186556,33087433113703,5.28 oz,Vuori Clothing,Bra,,,58.00,,4,2,-1,0,1,0.00
Elevation Bra | Burnt Clay Heather,Burnt Clay Heather / XL,VW136HBCXLG,843084186587,33087433212007,5.28 oz,Vuori Clothing,Bra,,,58.00,,0,0,1,1,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / L,VW136LHGLRG,843084143641,31858268799079,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,3,0,1,1,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / M,VW136LHGMED,843084143634,31858268766311,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,2,5,4,4,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / S,VW136LHGSML,843084143627,31858268733543,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,8,8,2,1,-1,-14.20
Elevation Bra | Light Heather Grey,Light Heather Grey / XL,VW136LHGXLG,843084143658,31858268831847,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,2,2,3,3,0,0.00
Elevation Bra | Light Heather Grey,Light Heather Grey / XS,VW136LHGXSM,843084143610,31858268700775,5.28 oz,Vuori Clothing,Bra,"",,58.00,14.20,1,4,2,2,0,0.00
