Product,Variant,SKU,Barcode,Shopify ID,Weight,Vendor,Product Type,Custom Text Field,Custom Date Field,Retail Price,Cost Price,Unfulfilled,On Order,Expected Stock,Actual Stock,Adjustment,Adjustment Cost
Yosemite Bra | Black Camo,Black Camo / L,VW104BCMLRG,817718022695,31858273812583,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,1,6,3,2,-1,-12.70
Yosemite Bra | Black Camo,Black Camo / M,VW104BCMMED,817718022688,31858273779815,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,1,4,5,5,0,0.00
Yosemite Bra | Black Camo,Black Camo / S,VW104BCMSML,817718022671,31858273747047,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,9,10,3,3,0,0.00
Yosemite Bra | Black Camo,Black Camo / XL,VW104BCMXLG,817718022701,31858273845351,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,0,2,2,0,0.00
Yosemite Bra | Black Camo,Black Camo / XS,VW104BCMXSM,817718022664,31858273714279,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,1,5,1,0,-1,-12.70
Yosemite Bra | Dusk,Dusk / L,VW104DSKLRG,843084154111,31858273288295,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,1,5,1,1,0,0.00
Yosemite Bra | Dusk,Dusk / M,VW104DSKMED,843084154104,31858273255527,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,1,-1,0,1,12.70
Yosemite Bra | Dusk,Dusk / S,VW104DSKSML,843084154098,31858273222759,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,10,1,0,-1,-12.70
Yosemite Bra | Dusk,Dusk / XL,VW104DSKXLG,843084154128,31858273321063,2.4 oz,Vuori Clothing,Bra,"",,48.00,12.70,0,0,3,3,0,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / L,VW104OSHLRG,843084186075,33087431344231,2.4 oz,Vuori Clothing,Bra,,,48.00,,0,6,4,4,0,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / M,VW104OSHMED,843084186068,33087431311463,2.4 oz,Vuori Clothing,Bra,,,48.00,,4,27,5,5,0,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / S,VW104OSHSML,843084186051,33087431278695,2.4 oz,Vuori Clothing,Bra,,,48.00,,0,16,12,12,0,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / XL,VW104OSHXLG,843084186082,33087431376999,2.4 oz,Vuori Clothing,Bra,,,48.00,,0,2,3,3,0,0.00
Yosemite Bra | Ocean Shibori,Ocean Shibori / XS,VW104OSHXSM,843084186044,33087431245927,2.4 oz,Vuori Clothing,Bra,,,48.00,,1,8,10,10,0,0.00
