Product,Variant,SKU,Barcode,Shopify ID,Weight,Vendor,Product Type,Custom Text Field,Custom Date Field,Retail Price,Cost Price,Unfulfilled,On Order,Expected Stock,Actual Stock,Adjustment,Adjustment Cost
Ripstop Climber Short | Army,Army / L,V370ARMLRG,843084142057,31858284036199,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,1,0,4,4,0,0.00
Ripstop Climber Short | Army,Army / M,V370ARMMED,843084142040,31858284003431,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,9,0,4,4,0,0.00
Ripstop Climber Short | Army,Army / S,V370ARMSML,843084142033,31858283970663,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,0,0,7,7,0,0.00
Ripstop Climber Short | Army,Army / XL,V370ARMXLG,843084142064,31858284068967,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,3,0,4,4,0,0.00
Ripstop Climber Short | Army,Army / XXL,V370ARMXXL,843084142071,31858284101735,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,0,0,8,8,0,0.00
Ripstop Climber Short | Black Camo,Black Camo / L,V370BCMLRG,843084142101,31858283839591,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,5,0,1,1,0,0.00
Ripstop Climber Short | Black Camo,Black Camo / XL,V370BCMXLG,843084142118,31858283872359,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,1,0,2,2,0,0.00
Ripstop Climber Short | Charcoal,Charcoal / L,V370CCLLRG,843084142156,32110550646887,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,9,0,7,8,1,15.25
Ripstop Climber Short | Charcoal,Charcoal / M,V370CCLMED,843084142149,32110550614119,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,5,0,5,6,1,15.25
Ripstop Climber Short | Charcoal,Charcoal / S,V370CCLSML,843084142132,32110550581351,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,0,0,13,12,-1,-15.25
Ripstop Climber Short | Charcoal,Charcoal / XL,V370CCLXLG,843084142163,32110550679655,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,4,0,2,2,0,0.00
Ripstop Climber Short | Charcoal,Charcoal / XXL,V370CCLXXL,843084142170,32110550712423,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,1,0,6,6,0,0.00
Ripstop Climber Short | Khaki,Khaki / L,V370KHKLRG,843084153367,31858283675751,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,2,0,8,7,-1,-15.25
Ripstop Climber Short | Khaki,Khaki / M,V370KHKMED,843084153350,31858283642983,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,1,0,12,12,0,0.00
Ripstop Climber Short | Khaki,Khaki / S,V370KHKSML,843084153343,31858283610215,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,0,0,7,7,0,0.00
Ripstop Climber Short | Khaki,Khaki / XL,V370KHKXLG,843084153374,31858283708519,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,4,0,5,5,0,0.00
Ripstop Climber Short | Khaki,Khaki / XXL,V370KHKXXL,843084153381,31858283741287,11.2 oz,Vuori Clothing,Shorts,"",,64.00,15.25,1,0,7,7,0,0.00
