Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2829,Vuori Clothing,Tuvalu Tee | Black,Black / L,V101BLKLRG,867810000039,"","","",,6.24,6.24,oz,delivered,03/26/2021 at 07:32,48.00,1066,1,N/A,N/A,11.23,11.23,,
T2829,Vuori Clothing,Tuvalu Tee | Cocoa,Cocoa / L,V101CCOLRG,843084163410,,,,,6.24,6.24,oz,delivered,03/26/2021 at 07:32,48.00,388,1,N/A,N/A,12.25,12.25,,
T2829,Vuori Clothing,Tuvalu Tee | Cognac,Cognac / L,V101COGLRG,843084163465,,,,,6.24,6.24,oz,delivered,03/26/2021 at 07:32,48.00,386,1,N/A,N/A,12.25,12.25,,
T2829,Vuori Clothing,Tuvalu Tee | Cognac,Cognac / XXL,V101COGXXL,843084163489,,,,,6.24,6.24,oz,delivered,03/26/2021 at 07:32,48.00,27,1,N/A,N/A,12.25,12.25,,
T2829,Vuori Clothing,Tuvalu Tee | Ink,Ink / L,V101INKLRG,843084126361,"","","",,6.24,18.72,oz,delivered,03/26/2021 at 07:32,48.00,1288,3,N/A,N/A,12.25,36.75,,
T2829,Vuori Clothing,Tuvalu Tee | Ink,Ink / M,V101INKMED,843084126354,"","","",,6.24,6.24,oz,delivered,03/26/2021 at 07:32,48.00,965,1,N/A,N/A,12.25,12.25,,
T2829,Vuori Clothing,Tuvalu Tee | Salt,Salt / L,V101SALLRG,843084121045,"","","",,6.24,6.24,oz,delivered,03/26/2021 at 07:32,48.00,573,1,N/A,N/A,11.23,11.23,,
T2829,Vuori Clothing,Tuvalu Tee | Salt,Salt / S,V101SALSML,843084121021,"","","",,6.24,6.24,oz,delivered,03/26/2021 at 07:32,48.00,183,1,N/A,N/A,11.23,11.23,,
T2829,Vuori Clothing,Tradewind Performance Tee | Tobacco Heather,Tobacco Heather / L,V109TOHLRG,843084177165,,,,,5.28,5.28,oz,delivered,03/26/2021 at 07:32,48.00,512,1,N/A,N/A,,,,
T2829,Vuori Clothing,Strato Tech Tee | Charcoal Heather,Charcoal Heather / M,V126HCCMED,817718020875,"","","",,3.04,3.04,oz,delivered,03/26/2021 at 07:32,44.00,3625,1,N/A,N/A,10.95,10.95,,
T2829,Vuori Clothing,Strato Tech Tee | Charcoal Heather,Charcoal Heather / S,V126HCCSML,817718020868,"","","",,3.04,6.08,oz,delivered,03/26/2021 at 07:32,44.00,1197,2,N/A,N/A,10.95,21.90,,
T2829,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / L,V126HCLLRG,843084163762,,,,,3.04,9.12,oz,delivered,03/26/2021 at 07:32,44.00,225,3,N/A,N/A,10.95,32.85,,
T2829,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / M,V126HCLMED,843084163755,,,,,3.04,6.08,oz,delivered,03/26/2021 at 07:32,44.00,303,2,N/A,N/A,10.95,21.90,,
T2829,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / XL,V126HCLXLG,843084163779,,,,,3.04,12.16,oz,delivered,03/26/2021 at 07:32,44.00,26,4,N/A,N/A,10.95,43.80,,
T2829,Vuori Clothing,Strato Tech Tee | Navy Heather,Navy Heather / M,V126HNVMED,817718020929,"","","",,3.04,3.04,oz,delivered,03/26/2021 at 07:32,44.00,3038,1,N/A,N/A,10.95,10.95,,
T2829,Vuori Clothing,Strato Tech Tee | Oxblood Heather,Oxblood Heather / L,V126HOXLRG,843084163861,,,,,3.04,3.04,oz,delivered,03/26/2021 at 07:32,44.00,2222,1,N/A,N/A,10.95,10.95,,
T2829,Vuori Clothing,Strato Tech Tee | Oxblood Heather,Oxblood Heather / XL,V126HOXXLG,843084163878,,,,,3.04,3.04,oz,delivered,03/26/2021 at 07:32,44.00,1085,1,N/A,N/A,10.95,10.95,,
T2829,Vuori Clothing,Strato Tech Tee | Platinum Heather,Platinum Heather / L,V126HPTLRG,843084177264,,,,,3.04,6.08,oz,delivered,03/26/2021 at 07:32,44.00,17,2,N/A,N/A,,,,
T2829,Vuori Clothing,Strato Tech Tee | Platinum Heather,Platinum Heather / M,V126HPTMED,843084177257,,,,,3.04,9.12,oz,delivered,03/26/2021 at 07:32,44.00,18,3,N/A,N/A,,,,
T2829,Vuori Clothing,Short-Sleeve Ever Henley | Oregano,Oregano / L,V165ORELRG,843084164165,,,,,6.88,6.88,oz,delivered,03/26/2021 at 07:32,58.00,521,1,N/A,N/A,12.75,12.75,,
T2829,Vuori Clothing,Austin Henley | Light Heather Grey,Light Heather Grey / L,V175LHGLRG,843084164264,,,,,12.32,12.32,oz,delivered,03/26/2021 at 07:32,98.00,27,1,N/A,N/A,24.16,24.16,,
T2829,Vuori Clothing,Long-Sleeve Tradewind Performance Tee | Mineral Heather,Mineral Heather / L,V177HMILRG,843084177868,,,,,6.56,6.56,oz,delivered,03/26/2021 at 07:32,58.00,374,1,N/A,N/A,,,,
T2829,Vuori Clothing,Long-Sleeve Strato Tech Tee | Charcoal Heather,Charcoal Heather / M,V178HCCMED,843084164608,,,,,5.6,16.8,oz,delivered,03/26/2021 at 07:32,58.00,798,3,N/A,N/A,11.65,34.95,,
T2829,Vuori Clothing,Long-Sleeve Strato Tech Tee | Navy Heather,Navy Heather / M,V178HNVMED,843084164653,,,,,5.6,28.0,oz,delivered,03/26/2021 at 07:32,58.00,687,5,N/A,N/A,11.65,58.25,,
T2829,Vuori Clothing,Long-Sleeve Strato Tech Tee | Oxblood Heather,Oxblood Heather / L,V178HOXLRG,843084177912,,,,,5.6,16.8,oz,delivered,03/26/2021 at 07:32,58.00,469,3,N/A,N/A,,,,
T2829,Vuori Clothing,Long-Sleeve Strato Tech Tee | Oxblood Heather,Oxblood Heather / M,V178HOXMED,843084177905,,,,,5.6,11.2,oz,delivered,03/26/2021 at 07:32,58.00,380,2,N/A,N/A,,,,
T2829,Vuori Clothing,Long-Sleeve Strato Tech Tee | Heather Grey,Heather Grey / L,V178HTGLRG,843084164714,,,,,5.6,5.6,oz,delivered,03/26/2021 at 07:32,58.00,431,1,N/A,N/A,11.65,11.65,,
T2829,Vuori Clothing,Long-Sleeve Strato Tech Tee | Heather Grey,Heather Grey / M,V178HTGMED,843084164707,,,,,5.6,5.6,oz,delivered,03/26/2021 at 07:32,58.00,362,1,N/A,N/A,11.65,11.65,,
