Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2840,Vuori Clothing,Tradewind Performance Tee | Tobacco Heather,Tobacco Heather / L,V109TOHLRG,843084177165,,,,,5.28,21.12,oz,delivered,03/25/2021 at 14:46,48.00,512,4,N/A,N/A,,,,
T2840,Vuori Clothing,Tradewind Performance Tee | Tobacco Heather,Tobacco Heather / M,V109TOHMED,843084177158,,,,,5.28,21.12,oz,delivered,03/25/2021 at 14:46,48.00,385,4,N/A,N/A,,,,
T2840,Vuori Clothing,Tradewind Performance Tee | Tobacco Heather,Tobacco Heather / S,V109TOHSML,843084177141,,,,,5.28,15.84,oz,delivered,03/25/2021 at 14:46,48.00,199,3,N/A,N/A,,,,
T2840,Vuori Clothing,Tradewind Performance Tee | Tobacco Heather,Tobacco Heather / XL,V109TOHXLG,843084177172,,,,,5.28,10.56,oz,delivered,03/25/2021 at 14:46,48.00,247,2,N/A,N/A,,,,
T2840,Vuori Clothing,Tradewind Performance Tee | Tobacco Heather,Tobacco Heather / XXL,V109TOHXXL,843084177189,,,,,5.28,5.28,oz,delivered,03/25/2021 at 14:46,48.00,67,1,N/A,N/A,,,,
T2840,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / L,V126HCLLRG,843084163762,,,,,3.04,12.16,oz,delivered,03/25/2021 at 14:46,44.00,225,4,N/A,N/A,10.95,43.80,,
T2840,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / M,V126HCLMED,843084163755,,,,,3.04,12.16,oz,delivered,03/25/2021 at 14:46,44.00,303,4,N/A,N/A,10.95,43.80,,
T2840,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / S,V126HCLSML,843084163748,,,,,3.04,9.12,oz,delivered,03/25/2021 at 14:46,44.00,204,3,N/A,N/A,10.95,32.85,,
T2840,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / XL,V126HCLXLG,843084163779,,,,,3.04,6.08,oz,delivered,03/25/2021 at 14:46,44.00,26,2,N/A,N/A,10.95,21.90,,
T2840,Vuori Clothing,Strato Tech Tee | Cloud Heather,Cloud Heather / XXL,V126HCLXXL,843084163786,,,,,3.04,3.04,oz,delivered,03/25/2021 at 14:46,44.00,50,1,N/A,N/A,10.95,10.95,,
T2840,Vuori Clothing,Tradewind Performance Tank | Black,Black / L,V142BLKLRG,843084100897,"","","",,4.8,19.2,oz,delivered,03/25/2021 at 14:46,42.00,751,4,N/A,N/A,10.20,40.80,,
T2840,Vuori Clothing,Tradewind Performance Tank | Black,Black / M,V142BLKMED,843084100880,"","","",,4.8,19.2,oz,delivered,03/25/2021 at 14:46,42.00,571,4,N/A,N/A,10.20,40.80,,
T2840,Vuori Clothing,Tradewind Performance Tank | Black,Black / S,V142BLKSML,843084100873,"","","",,4.8,14.4,oz,delivered,03/25/2021 at 14:46,42.00,451,3,N/A,N/A,10.20,30.60,,
T2840,Vuori Clothing,Tradewind Performance Tank | Black,Black / XL,V142BLKXLG,843084100903,"","","",,4.8,9.6,oz,delivered,03/25/2021 at 14:46,42.00,491,2,N/A,N/A,10.20,20.40,,
T2840,Vuori Clothing,Tradewind Performance Tank | Black,Black / XXL,V142BLKXXL,843084100910,"","","",,4.8,4.8,oz,delivered,03/25/2021 at 14:46,42.00,98,1,N/A,N/A,10.20,10.20,,
T2840,Vuori Clothing,Tradewind Performance Tank | Heather Grey,Heather Grey / L,V142HTGLRG,843084100941,"","","",,4.8,19.2,oz,delivered,03/25/2021 at 14:46,42.00,643,4,N/A,N/A,10.20,40.80,,
