Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2842,Vuori Clothing,Short-Sleeve Ever Henley | Tobacco,Tobacco / L,V165TOBLRG,843084177615,,,,,6.88,41.28,oz,delivered,03/24/2021 at 16:37,58.00,338,6,N/A,N/A,,,,
T2842,Vuori Clothing,Short-Sleeve Ever Henley | Tobacco,Tobacco / M,V165TOBMED,843084177608,,,,,6.88,41.28,oz,delivered,03/24/2021 at 16:37,58.00,241,6,N/A,N/A,,,,
T2842,Vuori Clothing,Short-Sleeve Ever Henley | Tobacco,Tobacco / S,V165TOBSML,843084177592,,,,,6.88,27.52,oz,delivered,03/24/2021 at 16:37,58.00,52,4,N/A,N/A,,,,
T2842,Vuori Clothing,Short-Sleeve Ever Henley | Tobacco,Tobacco / XL,V165TOBXLG,843084177622,,,,,6.88,27.52,oz,delivered,03/24/2021 at 16:37,58.00,179,4,N/A,N/A,,,,
T2842,Vuori Clothing,Short-Sleeve Ever Henley | Tobacco,Tobacco / XXL,V165TOBXXL,843084177639,,,,,6.88,13.76,oz,delivered,03/24/2021 at 16:37,58.00,35,2,N/A,N/A,,,,
T2842,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / L,V188HPTLRG,843084178612,,,,,5.12,30.72,oz,delivered,03/24/2021 at 16:37,54.00,418,6,N/A,N/A,,,,
T2842,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / M,V188HPTMED,843084178605,,,,,5.12,30.72,oz,delivered,03/24/2021 at 16:37,54.00,269,6,N/A,N/A,,,,
T2842,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / S,V188HPTSML,843084178599,,,,,5.12,20.48,oz,delivered,03/24/2021 at 16:37,54.00,69,4,N/A,N/A,,,,
T2842,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / XL,V188HPTXLG,843084178629,,,,,5.12,20.48,oz,delivered,03/24/2021 at 16:37,54.00,166,4,N/A,N/A,,,,
T2842,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / XXL,V188HPTXXL,843084178636,,,,,5.12,10.24,oz,delivered,03/24/2021 at 16:37,54.00,30,2,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / L,V224HFLLRG,843084179169,,,,,9.92,79.36,oz,delivered,03/24/2021 at 16:37,98.00,426,8,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / M,V224HFLMED,843084179152,,,,,9.92,79.36,oz,delivered,03/24/2021 at 16:37,98.00,309,8,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / S,V224HFLSML,843084179145,,,,,9.92,59.52,oz,delivered,03/24/2021 at 16:37,98.00,50,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / XL,V224HFLXLG,843084179176,,,,,9.92,59.52,oz,delivered,03/24/2021 at 16:37,98.00,223,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / XXL,V224HFLXXL,843084179183,,,,,9.92,9.92,oz,delivered,03/24/2021 at 16:37,98.00,28,1,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / L,V224HORLRG,843084179213,,,,,9.92,79.36,oz,delivered,03/24/2021 at 16:37,98.00,256,8,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / M,V224HORMED,843084179206,,,,,9.92,79.36,oz,delivered,03/24/2021 at 16:37,98.00,199,8,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / S,V224HORSML,843084179190,,,,,9.92,59.52,oz,delivered,03/24/2021 at 16:37,98.00,38,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / XL,V224HORXLG,843084179220,,,,,9.92,59.52,oz,delivered,03/24/2021 at 16:37,98.00,142,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / XXL,V224HORXXL,843084179237,,,,,9.92,9.92,oz,delivered,03/24/2021 at 16:37,98.00,3,1,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Black,Black / L,V244BLKLRG,843084179466,,,,,12.0,72.0,oz,delivered,03/24/2021 at 16:37,110.00,513,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Black,Black / M,V244BLKMED,843084179459,,,,,12.0,72.0,oz,delivered,03/24/2021 at 16:37,110.00,461,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Black,Black / S,V244BLKSML,843084179442,,,,,12.0,36.0,oz,delivered,03/24/2021 at 16:37,110.00,145,3,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Black,Black / XL,V244BLKXLG,843084179473,,,,,12.0,48.0,oz,delivered,03/24/2021 at 16:37,110.00,269,4,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Black,Black / XXL,V244BLKXXL,843084179480,,,,,12.0,24.0,oz,delivered,03/24/2021 at 16:37,110.00,56,2,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Platinum Heather,Platinum Heather / L,V244HPTLRG,843084179619,,,,,12.0,72.0,oz,delivered,03/24/2021 at 16:37,110.00,650,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Platinum Heather,Platinum Heather / M,V244HPTMED,843084179602,,,,,12.0,72.0,oz,delivered,03/24/2021 at 16:37,110.00,576,6,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Platinum Heather,Platinum Heather / S,V244HPTSML,843084179596,,,,,12.0,36.0,oz,delivered,03/24/2021 at 16:37,110.00,189,3,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Platinum Heather,Platinum Heather / XL,V244HPTXLG,843084179626,,,,,12.0,48.0,oz,delivered,03/24/2021 at 16:37,110.00,350,4,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Platinum Heather,Platinum Heather / XXL,V244HPTXXL,843084179633,,,,,12.0,24.0,oz,delivered,03/24/2021 at 16:37,110.00,75,2,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Charcoal,Charcoal / L,V245CCLLRG,843084179664,,,,,12.32,73.92,oz,delivered,03/24/2021 at 16:37,68.00,249,6,N/A,N/A,,,,
