Trnf#,Line,Priority,Sts,Style,Clr,Style Description,Color Description,Size Type,Size,O Qty,Shp Qty,Rec Qty,Style Color Std Cost,Trns Value,Markdown MSRP,Outlet MSRP,Wholesale Price,Segment Code,Inventory Classification,Sts,Prt,From,To,Cost,Via,Reference,Ent Date,Shp Date,Rec Date,ETA Date,Order,Fabric Content,HTS Code,Hts Description,Country Of Origin,COO Description,Style Color FOB,BOL #,Division,Division Description,Label,Label Description,Category,Category Description,NAFTA Compliant,UPC Code
2844,10,,O,V101,CCO,Tuvalu Tee,Cocoa,_,M,2,2,0,12.25,24.5,0,0,24,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Pima Cotton with SeaCell 4% Elastane,6109.10.0012,MENS KNIT COTTON TOPS,CN,CHINA,11.03,1Z9X8W620300506357,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,20,,O,V101,SAL,Tuvalu Tee,Salt,_,L,1,1,0,12.25,12.25,0,0,24,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Pima Cotton with SeaCell 4% Elastane,6109.10.0012,MENS KNIT COTTON TOPS,CN,CHINA,11.03,1Z9X8W620300506357,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,30,,O,V126,HCC,Strato Tech Tee,Charcoal Heather,_,M,1,1,0,10.95,10.95,0,0,22,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Polyester 4% Elastane,6110.30.3053,MENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.17718E+11
2844,40,,O,V126,HCL,Strato Tech Tee,Cloud Heather,_,XL,1,1,0,10.95,10.95,0,0,22,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Polyester 4% Elastane,6110.30.3053,MENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,50,,O,V183,CCL,S/S Ace Button Up,Charcoal,_,M,1,1,0,19.5,19.5,0,0,39.5,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,100% Polyester,6105.20.2010,MENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,70,,O,V224,HCC,Ponto Performance Crew,Charcoal Heather,_,L,2,2,0,26.4,52.8,0,0,49,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6110.30.3041,MENS KNIT FLEECE,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,C6,FLEECE,AP,APPAREL,N,8.43084E+11
2844,80,,O,V302,IND,Kore Short,Indigo,_,XL,1,1,0,16.85,16.85,0,0,34,,KORE,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,46% Recycled Polyester 44% Polyester 10% Elastane,6203.43.9030,MENS WOVEN BOARDSHORTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CA,SHORTS,AP,APPAREL,N,8.43084E+11
2844,90,,O,V302,PTL,Kore Short,Platinum Linen Texture,_,M,1,1,0,16.85,16.85,0,0,34,,KORE,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,46% Recycled Polyester 44% Polyester 10% Elastane,6203.43.9030,MENS WOVEN BOARDSHORTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CA,SHORTS,AP,APPAREL,N,8.43084E+11
2844,100,,O,V330,BKL,Banks Short,Black Linen Texture,_,M,2,2,0,17.05,34.1,0,0,34,,BANK,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,44% Recycled Polyester 44% Polyester 12% Elastane,6203.43.9030,MENS WOVEN BOARDSHORTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CA,SHORTS,AP,APPAREL,N,8.43084E+11
2844,110,,O,V344,HCC,Ponto Short,Charcoal Heather,_,M,1,1,0,19.45,19.45,0,0,37,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6103.43.1550,MENS KNIT SHORTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CA,SHORTS,AP,APPAREL,N,8.43084E+11
