UPC,Style#,Style Desc,Size,Clr Desc,Division Desc,Clr, MSRP ,Size Type,Size Range Desc.,Division,Curr,,,,,
867810001234,A100,Aloha  - Mini Pouch,ONS,No Color,Unisex,XXXX, $ 22.00 ,_,One-Size Fits All,US,USD,,,,,
843084108725,A100,Aloha  - Mini Pouch,ONS,No Color,Womens,XXXX, $ 22.00 ,_,One-Size Fits All,WN,USD,,,,,
843084142835,A101,Aloha - Small Bag,ONS,No Color,Womens,XXXX, $ 32.00 ,_,One-Size Fits All,WN,USD,,,,,
843084102846,A102,Aloha - Small Bag - Samudra,ONS,No Color,Womens,XXXX, $ 32.00 ,_,One-Size Fits All,WN,USD,,,,,
843084160112,A103,Aloha - Small Bag - Wilder,ONS,No Color,Womens,XXXX, $ 32.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125777,A104,Aloha - Medium Bag,ONS,No Color,Womens,XXXX, $ 40.00 ,_,One-Size Fits All,WN,30,32,33,34,36,38
843084125784,A105,Aloha - Medium - Samudra,ONS,No Color,Womens,XXXX, $ 40.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125791,A106,Aloha - Medium Bag - Wilder,ONS,No Color,Womens,XXXX, $ 40.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125807,A107,Aloha - Large Bag,ONS,No Color,Womens,XXXX, $ 44.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125814,A108,Aloha - Reversible Tote Bag,ONS,No Color,Womens,XXXX, $ 44.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125821,A109,Aloha - Zipper Tote,ONS,No Color,Womens,XXXX, $ 58.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125838,A110,Aloha - Mini Duffle,ONS,No Color,Womens,XXXX, $ 46.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125906,A111,Aloha - Hip Pack,ONS,No Color,Womens,XXXX, $ 40.00 ,_,One-Size Fits All,WN,USD,,,,,
843084125845,A112,Aloha - Zipper Tote - Wilder,ONS,No Color,Womens,XXXX, $ 58.00 ,_,One-Size Fits All,WN,USD,,,,,
843084126200,A113,Aloha - Hip Pack - Samudra,ONS,No Color,Womens,XXXX, $ 40.00 ,_,One-Size Fits All,WN,USD,,,,,
843084126217,A114,Aloha - Zipper Tote - Samudra,ONS,No Color,Womens,XXXX, $ 58.00 ,_,One-Size Fits All,WN,USD,,,,,
843084176588,DGC,Gift Card (Digital),ONS,No Color,GC,XXXX, $ -   ,_,One-Size Fits All,GC,USD,,,,,
843084176571,PGC,Gift Card (Physical),ONS,No Color,GC,XXXX, $ -   ,_,One-Size Fits All,GC,USD,,,,,
843084109654,SS101,Sample Sale Tops,ONS,Sample Sale $25,Mens,SS25, $ 25.00 ,_,One-Size Fits All,MN,USD,,,,,
843084109661,SS101,Sample Sale Tops,ONS,Sample Sale $40,Mens,SS40, $ 40.00 ,_,One-Size Fits All,MN,USD,,,,,
843084116157,SS301,Sample Sale Bottoms,ONS,Sample Sale $20,Mens,SS20, $ 20.00 ,_,One-Size Fits All,MN,USD,,,,,
843084109678,SS301,Sample Sale Bottoms,ONS,Sample Sale $25,Mens,SS25, $ 25.00 ,_,One-Size Fits All,MN,USD,,,,,
843084109685,SS301,Sample Sale Bottoms,ONS,Sample Sale $40,Mens,SS40, $ 40.00 ,_,One-Size Fits All,MN,USD,,,,,
843084120949,V101,Tuvalu Tee,L,Aloe,Mens,ALO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084120932,V101,Tuvalu Tee,M,Aloe,Mens,ALO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084120925,V101,Tuvalu Tee,S,Aloe,Mens,ALO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084120956,V101,Tuvalu Tee,XL,Aloe,Mens,ALO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084120963,V101,Tuvalu Tee,XXL,Aloe,Mens,ALO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126262,V101,Tuvalu Tee,L,Amber,Mens,AMB, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126255,V101,Tuvalu Tee,M,Amber,Mens,AMB, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126248,V101,Tuvalu Tee,S,Amber,Mens,AMB, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126279,V101,Tuvalu Tee,XL,Amber,Mens,AMB, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126286,V101,Tuvalu Tee,XXL,Amber,Mens,AMB, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810001470,V101,Tuvalu Tee,L,Azure,Mens,AZR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810001463,V101,Tuvalu Tee,M,Azure,Mens,AZR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000510,V101,Tuvalu Tee,S,Azure,Mens,AZR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810001487,V101,Tuvalu Tee,XL,Azure,Mens,AZR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003412,V101,Tuvalu Tee,XXL,Azure,Mens,AZR, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084176960,V101,Tuvalu Tee,L,Burnt Clay,Mens,BCY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084176953,V101,Tuvalu Tee,M,Burnt Clay,Mens,BCY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084176946,V101,Tuvalu Tee,S,Burnt Clay,Mens,BCY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084176977,V101,Tuvalu Tee,XL,Burnt Clay,Mens,BCY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084176984,V101,Tuvalu Tee,XXL,Burnt Clay,Mens,BCY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000039,V101,Tuvalu Tee,L,Black,Mens,BLK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000022,V101,Tuvalu Tee,M,Black,Mens,BLK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000015,V101,Tuvalu Tee,S,Black,Mens,BLK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000046,V101,Tuvalu Tee,XL,Black,Mens,BLK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003580,V101,Tuvalu Tee,XXL,Black,Mens,BLK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000114,V101,Tuvalu Tee,L,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000107,V101,Tuvalu Tee,M,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000091,V101,Tuvalu Tee,S,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000121,V101,Tuvalu Tee,XL,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084112791,V101,Tuvalu Tee,XXL,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028321,V101,Tuvalu Tee,L,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028314,V101,Tuvalu Tee,M,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028307,V101,Tuvalu Tee,S,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028338,V101,Tuvalu Tee,XL,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028345,V101,Tuvalu Tee,XXL,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
